artist,years,media
Maria C. Hakewill,died 1842,portrait painter
Maggi Hambling,born 1945,painter sculptor
Gertrude Harvey,1879-1966,painter
Isobel Heath,1908-1989,painter
Elsie Henderson,1880-1967,painter sculptor
Rose Henriques,1889-1972,painter
Barbara Hepworth,1903-1975,painter sculptor
Gertrude Hermes,1901-1983,engraver
Elsie Dalton Hewland,1901-1979,painter
Cicely Hey,1896-1980,painter sculptor
Wuon-Gean Ho,born 1973,printmaker
Mary Hoare,1753-1820,painter
Edith Holden,1871-1920,painter writer
Ruth Hollingsworth,1880-1945,painter
Gwynneth Holt,1909-1995,ivory sculptor
Claire Hooper,born 1979,painter video artist
Erlund Hudson,1912-2011,watercolour painter and etcher
Georgina Hunt,1912-2012,abstract artist
Alice Instone,born 1975,painter
Helen Jackson,1855-1911,painter
Blanche Jenkins,alive 1872-1915,painter
Chantal Joffe,born 1969,painter
Lucy Jones,born 1955,painter
Louise Jopling,1843-1933,painter
Lily Delissa Joseph,1863-1940,painter
Marion Kalmus,born 1962,mixed media artist
Lucy Kemp-Welch,1869-1958,equine artist
Sarah Louisa Kilpack,1839-1909,painter
Dorothy King,1907-1990,painter
Eve Kirk,1900-1969,painter
Laura Knight,1877-1970,painter etcher engraver
Madge Knight,1895-1974,abstract painter
Winifred Knights,1899-1947,painter
Jessica Landseer,1810-1880,landscape painter miniaturist
Edith Lawrence,1890-1973,printmaker
Beatrice Ethel Lithiby,1889-1966,painter
Elizabeth Jane Lloyd,1928-1995,painter and teacher
Dorothy Lockwood,1910-1991,painter
Marie Seymour Lucas,1855-1921,painter
Sarah Lucas,born 1962,contemporary artist
Frances Macdonald,1914-2002,painter
Jessie Macgregor,1847-1919,painter
Nicolette Macnamara,1911-1987,painter writer
Edna Mann,1926-1985,painter
Violet Manners,1856-1937,painter
Madeline Marrable,1833-1916,painter
Maria Marshall,born 1966,visual artist
Edith Martineau,1842-1909,painter
Daphne McClure,born 1930,painter
Mary McCrossan,1865-1934,painter
"Mary McEvoy,",1870-1941,painter
Dorothy Mead,1928-1975,painter
Victoria Monkhouse,1883-1970,painter
Clara Montalba,1840-1929,painter
Ellen Montalba,1842-1912,painter
Henrietta Montalba,1848-1893,sculptor
Hilda Montalba,1846-1919,painter and sculptor
Mona Moore,1917-2000,painter illustrator
Marlow Moss,1889-1958,painter and sculptor
Olive Mudie-Cooke,1890-1925,painter
Isabel Naftel,1832-1912,landscape and genre painter
Catherine Maude Nichols,1847-1923,painter
Margaret Graeme Niven,1906-1997,painter
Marianne North,1830-1890,flower painter
Emma Oliver,1819-1885,landscape painter
Madge Oliver,1875-1924,painter
Emily Mary Osborn,1828-1925,painter
Grace Pailthorpe,1883-1971,painter
Constance-Anne Parker,1921-2016,sculptor
Janette Parris,born 1963,NA
Florence Pash,1860-1951,painter
Margot Perryman,born 1938,NA
Kate Perugini,1839-1929,painter
Louise Pickard,1865-1928,painter
Orovida Camille Pissarro,1893-1968,painter etcher
Primrose Pitman,1902-1998,painter
Maria Pixell,died 1811,painter
Elizabeth Polunin,1887-1950,artist theatre designer
Fay Pomerance,1912-2001,painter
Melinda Camber Porter,1953-2008,painter writer
Beatrix Potter,1866-1943,painter writer
Margaret Fisher Prout,1875-1963,painter
Brenda Pye,1907-2005,painter
Henrietta Rae,1859-1928,painter
Mary Ramsden,born 1984,painter
Gwen Raverat,1885-1957,engraver
Louise Rayner,1832-1924,watercolourist
Rachel Reckitt,1908-1995,sculptor engraver
Flora Macdonald Reid,1861-1938,painter
Lady Mary Rennell,1901-1981,painter
Bridget Riley,born 1931,painter
Ruth Rix,born 1942,painter multidisciplinary artist
Ellen Mary Rope,1855-1934,sculptor
Ellis Rowan,1848-1922,illustrator
Adolfine Mary Ryland,1903-1983,sculptor
Anne Said,1914-1995,artist
Stella Schmolle,1908-1975,painter
Dorothea Sharp,1874-1955,painter
Clare Shenstone,born 1948,portrait painter
Elizabeth Siddal,1829-1862,artist
Emma Sillett,1802-1880,flower painter
Corinne Silva,born 1976,contemporary artist
Hilary Simon,NA,silk painter
Ruth Simpson,1889-1964,portrait painter
Vikki Slowe,born 1947,printmaker and painter
Mary Smirke,1779-1853,painter
Maria Spilsbury,1776-1820,religious painter
Carole Steyn,born 1938,abstract painter
Marie Spartali Stillman,1844-1927,painter
Marianne Stokes,1855-1927,painter
Sarah Stone,1760-1844,natural history artist
Helen Stratton,1867-1961,book illustrator
Linda Sutton,born 1947,painter
Annie Swynnerton,1844-1933,painter
Shirley Teed,1933-2018,painter
Valerie Thornton,1931-1991,etcher printmaker
Helen Thornycroft,1848-1937,painter
Flora Twort,1893-1985,painter pastellist
Mary Fraser Tytler,1849-1938,painter ceramicist
Elisabeth Vellacott,1905-2002,painter
"Charlotte Verity,",born 1954,painter
Stella Vine,born 1969,painter
Josephine Wall,born 1947,painter sculptor
Mary Lemon Waller,1851-1931,painter
Kathleen Walne,1915-2011,watercolour painter
Joan Warburton,1920-1996,painter
Henrietta Ward,1832-1924,genre painter
Billie Waters,1896-1979,painter
Mary Spencer Watson,1913-2006,sculptor
Edith Grace Wheatley,1888-1970,painter
Rachel Whiteread,born 1963,sculptor
Mandy Wilkinson,born 1970,painter
Caroline Fanny Williams,1836-1921,landscape painter
Ursula Wood,1868-1925,painter
Gertrude Mary Woodward,1854-1939,scientific illustrator
Rose Wylie,born 1934,painter
Nan Youngman,1906-1995,painter
Georgiana Zornlin,1800-1881,painter
Astrid Zydower,1930-2005,sculptor
