Country,price_2017,ppp_2017,price_2016,ppp_2016,price_2015,ppp_2015,price_2014,ppp_2014,price_2013,ppp_2013,price_2012,ppp_2012,price_2011,ppp_2011,price_2010,ppp_2010,price_2009,ppp_2009,price_2008,ppp_2008,price_2007,ppp_2007,price_2006,ppp_2006,price_2005,ppp_2005,price_2004,ppp_2004,price_2003,ppp_2003,price_2002,ppp_2002,price_2001,ppp_2001,price_2000,ppp_2000
Argentina,4.1255341093266535,13.20754716981132,3.3478406427854033,9.920634920634921,3.0651340996168583,5.845511482254698,2.5707727620504977,4.37956204379562,3.8799076212471135,4.6086320409656185,4.160963591568573,4.3905257076834205,4.839685420447671,4.920049200492004,3.558945027009851,3.75,3.0173827484421123,3.2212885154061626,3.642987249544627,3.081232492997199,2.668607472100922,2.4193548387096775,2.290201210534925,2.258064516129032,1.6396272005522956,1.5522875816993464,1.48,1.503448275862069,1.4,1.5129151291512914,0.78,1.004016064257028,2.5,0.984251968503937,2.5,0.9960159362549802
Australia,4.527955,1.1132075471698115,4.3047375,1.1408730158730158,3.922265,1.1064718162839249,4.814144999999999,1.0636079249217936,4.61986425,1.1049743964886614,4.680156,1.0537261698440208,4.943724,1.121771217712177,3.8369174999999998,1.1651785714285714,3.3724454114538815,1.215686274509804,3.3625730994152048,0.9663865546218489,2.948717948717949,1.0117302052785924,2.4389694791111647,1.0483870967741935,2.4971187091817133,1.0620915032679739,2.27,1.120689655172414,1.8,1.1070110701107012,1.62,1.2048192771084336,1.52,1.1811023622047243,1.54,1.0318725099601593
Brazil,5.101567572581393,3.11320754716981,4.781810609449475,3.0753968253968256,4.282519390296128,2.8183716075156577,5.855196486882107,2.7111574556830034,5.284830334926123,2.633504023408925,4.9359743407683085,2.329289428076257,6.162428645563051,2.337023370233702,4.907180483957295,2.3330357142857143,4.020830203795503,2.249299719887955,4.73305566073457,2.100840336134454,3.6069001568217463,2.0234604105571847,2.777175092210892,2.064516129032258,2.393703343070432,1.9281045751633987,1.7,1.8620689655172415,1.44,1.6789667896678966,1.55,1.4457831325301205,1.64,1.4173228346456692,1.65,1.1752988047808766
Britain,4.1114315,0.6018867924528302,3.940222000000001,0.5932539682539683,4.512446,0.6033402922755742,4.9251380000000005,0.602711157455683,4.0200705,0.590343818580834,4.1623715,0.6216060080878105,3.8916370000000007,0.5879458794587945,3.4835480000000008,0.6133928571428572,3.688274,0.6414565826330533,4.5704965,0.6414565826330533,4.007163500000001,0.5835777126099706,3.6479760000000003,0.6258064516129032,3.4404000000000003,0.6143790849673202,3.37,0.6482758620689655,3.08,0.7343173431734318,2.88,0.7991967871485943,2.85,0.7834645669291338,3,0.7569721115537849
Canada,4.655696794821805,1.1264150943396227,4.604758250191865,1.1904761904761905,4.535938590369853,1.221294363256785,5.251152180997161,1.176225234619395,5.260404280618312,1.2136064374542794,5.022315954681446,1.1831311380704796,5.000792937569383,1.1635916359163592,4.00057562239171,1.1169642857142856,3.3509928069948747,1.0896358543417368,4.07553186189029,1.145658263305322,3.68313636147895,1.1378299120234603,3.141594894908296,1.135483870967742,2.6252601248599325,1.0718954248366013,2.33,1.1,2.17,1.1808118081180812,2.12,1.3373493975903614,2.14,1.3110236220472442,1.94,1.1354581673306774
Chile,3.8440955446178893,481.1320754716981,3.532374984641848,456.3492063492063,3.268736866682232,438.4133611691023,3.7224802354025597,437.95620437956205,3.9358069880253073,438.91733723482076,4.157793327248758,473.7146158290006,3.997839005942734,455.1045510455104,3.3419268595435883,468.75,3.19022878497858,490.1960784313726,3.13352875770747,434.17366946778714,2.971048884670147,458.9442815249267,2.9436739315029716,503.22580645161287,2.531859228626888,490.19607843137254,2.18,482.7586206896552,1.95,516.6051660516605,2.16,562.2489959839357,2.1,496.06299212598424,2.45,501.99203187251
China,2.9171270718232045,3.7358490566037736,2.785265049415993,3.6904761904761907,2.7378728338594343,3.549060542797495,2.7265540551441525,3.5245046923879038,2.6083696059731665,3.5113386978785663,2.449714330437505,3.616406701328712,2.2730799069045773,3.603936039360393,1.9477932387964996,3.5357142857142856,1.8294378503373483,3.5014005602240896,1.8290898448931812,3.5014005602240896,1.4464738911462647,3.225806451612903,1.3082481933715424,3.3870967741935485,1.2686675366101203,3.4313725490196076,1.26,3.586206896551724,1.2,3.653136531365314,1.27,4.216867469879518,1.2,3.8976377952755907,1.2,3.9442231075697216
Colombia,3.2436045292514155,1867.9245283018868,3.0385797200409694,1765.873015873016,2.9163128945328363,1649.269311064718,4.654561199361351,1793.5349322210636,4.476834981780323,1887.3445501097294,4.7659291483672535,1987.2905834777587,4.744422479525558,2066.420664206642,4.388664400974069,2196.4285714285716,3.340332124451231,1960.7843137254904,3.8918077446974118,1960.7843137254904,3.5276073619631902,2023.4604105571846,2.596261383607605,2096.774193548387,2.7924560725179366,2124.1830065359477,2.3467144192964913,2241.3793103448274,NA,NA,NA,NA,NA,NA,NA,NA
Costa Rica,4.000034934802924,432.07547169811323,4.11793773678142,446.42857142857144,4.031501968873055,448.85177453027137,4.001488926112042,448.3837330552659,4.311425276984007,471.83613752743236,2.395137870123649,277.2963604852687,4.065000347012225,504.30504305043047,3.830573724179539,535.7142857142857,3.433063837822064,560.2240896358544,3.2666690864215457,504.20168067226894,2.1788382742829597,331.3782991202346,2.217708302668119,364.51612903225805,2.3774458236903007,369.281045751634,2.60638911313574,389.65517241379314,NA,NA,NA,NA,NA,NA,NA,NA
Czech Republic,3.2813997138619446,14.150943396226415,3.055419193328594,14.880952380952381,2.8337499620479916,14.613778705636744,3.455514844734816,14.692387904066736,3.4905959529896746,15.460863204096562,3.3414101102242495,16.251877527440787,4.07240084831893,17.052890528905287,3.4252263566205516,18.117857142857144,3.6395690604478195,19.025210084033613,4.557885770057146,18.50980392156863,2.5051203428557898,15.513196480938415,2.6710029944182594,19.048387096774192,2.2990191883753246,18.437908496732028,2.13,19.455172413793104,1.91,20.874538745387454,1.66,22.602409638554214,1.43,22.04724409448819,1.39,21.661354581673308
