code,name,city,state,fare,adj_fare,year
MAZ,Eugenio Maria de Hostos,Mayaguez,PR,288.89,469.15,1996
PIR,Pierre Regional,Pierre,SD,375.39,609.62,1996
CEZ,Cortez Municipal,Cortez,CO,278.4,452.11,1996
IFP,Laughlin/Bullhead International,Bullhead City,AZ,142.69,231.72,1996
IPL,Imperial County,El Centro,CA,416.17,675.84,1996
MCK,McCook Ben Nelson Regional,McCook,NE,1001,1625.57,1996
PDT,Eastern Oregon Regional at Pendleton,Pendleton,OR,265.46,431.1,1996
CDR,Chadron Municipal,Chadron,NE,245,397.87,1996
TEX,Telluride Regional,Telluride,CO,403.93,655.97,1996
GGW,Wokal Field/Glasgow International,Glasgow,MT,393.29,638.68,1996
ATY,Watertown Regional,Watertown,SD,388.85,631.48,1996
TVF,Thief River Falls Regional,Thief River Falls,MN,509.08,826.71,1996
MSS,Massena International-Richards Field,Massena,NY,395.48,642.23,1996
SNP,St. Paul Island,St. Paul,AK,605.19,982.8,1996
CNM,Cavern City Air Terminal,Carlsbad,NM,258.6,419.95,1996
GDV,Dawson Community,Glendive,MT,336.5,546.46,1996
OLF,L. M. Clayton,Wolf Point,MT,406.13,659.53,1996
MSL,Northwest Alabama Regional,Muscle Shoals,AL,441.8,717.46,1996
AOO,Altoona-Blair County,Altoona,PA,469.85,763.01,1996
DUJ,DuBois Regional,DuBois,PA,456.45,741.26,1996
HVR,Havre City-County,Havre,MT,670,1088.05,1996
PGA,Page Municipal,Page,AZ,433.28,703.62,1996
MGW,Morgantown Municipal-Walter L. Bill Hart Field,Morgantown,WV,453.16,735.91,1996
GLH,Greenville Mid Delta,Greenville,MS,502.67,816.3,1996
SOW,Show Low Regional,Show Low,AZ,349,566.76,1996
CVN,Clovis Municipal,Clovis,NM,208.68,338.88,1996
SVC,Grant County,Silver City/Hurley,NM,176.15,286.06,1996
JST,John Murtha Johnstown-Cambria County,Johnstown,PA,455.32,739.41,1996
BFD,Bradford Regional,Bradford,PA,469.93,763.13,1996
MCE,Merced Regional/Macready Field,Merced,CA,266.15,432.22,1996
VCT,Victoria Regional,Victoria,TX,395.25,641.87,1996
LNS,Lancaster Airport,Lancaster,PA,460.61,748.01,1996
YNG,Youngstown-Warren Regional,Youngstown/Warren,OH,299.68,486.66,1996
SHH,Shishmaref Airport,Shishmaref,AK,626.67,1017.67,1996
FKL,Venango Regional,Franklin/Oil City,PA,500.3,812.46,1996
WMO,White Mountain Airport,White Mountain,AK,502,815.22,1996
OOK,Toksook Bay,Toksook,AK,728.67,1183.32,1996
AGN,Angoon Seaplane Base,Angoon,AK,616.8,1001.65,1996
AHN,Athens/Ben Epps,Athens,GA,386.43,627.54,1996
AIN,Wainwright Airport,Wainwright,AK,580.33,942.43,1996
AKI,Akiak Airport,Akiak,AK,526,854.2,1996
AKO,Colorado Plains Regional,Akron,CO,51,82.82,1996
AKP,Anaktuvuk Pass Airport,Anaktuvuk Pass,AK,672,1091.29,1996
ALM,Alamogordo White Sands Regional,Alamogordo,NM,148.21,240.68,1996
ANB,Anniston Regional,Anniston,AL,243.75,395.84,1996
ANI,Aniak Airport,Aniak,AK,300.29,487.65,1996
APF,Naples Municipal,Naples,FL,339.8,551.82,1996
ATK,Atqasuk Edward Burnell Sr. Memorial,Atqasuk,AK,549,891.55,1996
BDR,Igor I Sikorsky Memorial,Bridgeport,CT,358.64,582.41,1996
BEH,Southwest Michigan Regional,Benton Harbor/St. Joseph,MI,261.12,424.04,1996
BKW,Raleigh County Memorial,Beckley,WV,328.42,533.34,1996
BKX,Brookings Regional,Brookings,SD,273.75,444.56,1996
BLF,Mercer County,Princeton/Bluefield,WV,439.31,713.42,1996
BMG,Monroe County,Bloomington,IN,338.93,550.4,1996
BRL,Southeast Iowa Regional,Burlington,IA,471.18,765.17,1996
BWD,Brownwood Regional,Brownwood,TX,562.42,913.34,1996
CBE,Greater Cumberland Regional,Cumberland,MD,494.43,802.93,1996
CEC,Jack McNamara Field,Crescent City,CA,335.04,544.09,1996
CEM,Central Airport,Central,AK,480,779.5,1996
CGA,Craig Seaplane Base,Craig,AK,730,1185.48,1996
CGX,Meigs Field,Chicago,IL,322,522.91,1996
CHI,Chicago Metropolitan Area,Chicago,IL,409.38,664.8,1996
CIC,Chico Municipal,Chico,CA,293.03,475.86,1996
CIK,Chalkyitsik Airport,Chalkyitsik,AK,588,954.88,1996
CLD,McClellan-Palomar,Carlsbad,CA,446.52,725.12,1996
CLM,William R. Fairchild International,Port Angeles,WA,231.44,375.84,1996
DNV,Vermilion Regional,Danville,IL,344.81,559.95,1996
EEN,Dillant Hopkins,Keene,NH,401.29,651.67,1996
EFD,Ellington,Houston,TX,386.52,627.69,1996
ELD,South Arkansas Regional at Goodwin Field,El Dorado,AR,475.93,772.89,1996
ELI,Elim Airport,Elim,AK,1796,2916.61,1996
ESF,Esler Regional,Alexandria,LA,363.29,589.96,1996
FFM,Fergus Falls Municipal-Einar Mickelson Field,Fergus Falls,MN,396.51,643.91,1996
FHU,Sierra Vista Municipal-Libby AAF,Fort Huachuca,AZ,276.44,448.92,1996
FMN,Four Corners Regional,Farmington,NM,203.56,330.57,1996
FMY,Page Field,Fort Myers,FL,316.3,513.65,1996
FNL,Northern Colorado Regional,Fort Collins/Loveland,CO,539.55,876.2,1996
FOD,Fort Dodge Regional,Fort Dodge,IA,334.42,543.08,1996
FOE,Topeka Regional,Topeka,KS,189.19,307.24,1996
FYV,Drake Field,Fayetteville,AR,375.78,610.25,1996
GAL,Edward G. Pitka Sr.,Galena,AK,376.75,611.82,1996
GAM,Gambell Airport,Gambell,AK,748.5,1215.53,1996
GBD,Great Bend Municipal,Great Bend,KS,259.25,421.01,1996
GBG,Galesburg Municipal,Galesburg,IL,250,405.99,1996
GCN,Grand Canyon National Park,Grand Canyon,AZ,96,155.9,1996
GLD,Renner Field,Goodland,KS,331,537.53,1996
GLV,Golovin Airport,Golovin,AK,614,997.1,1996
GON,Groton-New London,New London/Groton,CT,397.11,644.89,1996
GPZ,Grand Rapids/Itasca County-Gordon Newstrom Field,Grand Rapids,MN,435.11,706.59,1996
GUP,Gallup Municipal,Gallup,NM,304.4,494.33,1996
GYY,Gary/Chicago International,Gary,IN,113,183.51,1996
HAR,Capital City,Harrisburg,PA,484,785.99,1996
HII,Lake Havasu City Airport,Lake Havasu City,AZ,249.72,405.53,1996
HKY,Hickory Regional,Hickory,NC,487.02,790.89,1996
HNH,Hoonah Airport,Hoonah,AK,223.5,362.95,1996
HNS,Haines Airport,Haines,AK,274.86,446.35,1996
HON,Huron Regional,Huron,SD,372.26,604.54,1996
HOT,Memorial Field,Hot Springs,AR,411.75,668.66,1996
HPB,Hooper Bay Airport,Hooper Bay,AK,614,997.1,1996
HRO,Boone County,Harrison,AR,517.5,840.39,1996
HUF,Terre Haute Regional,Terre Haute,IN,295.46,479.81,1996
IGM,Kingman Airport,Kingman,AZ,183.38,297.81,1996
ILE,Skylark Field,Killeen,TX,339.94,552.05,1996
INT,Smith Reynolds,Winston-Salem,NC,417.91,678.67,1996
ISO,Kinston Regional Jetport at Stallings Field,Kinston,NC,357.36,580.34,1996
IWD,Gogebic-Iron County,Ironwood,MI,415.91,675.41,1996
IYK,Inyokern Airport,Inyokern,CA,471.81,766.2,1996
JBR,Jonesboro Municipal,Jonesboro,AR,403.3,654.94,1996
JHW,Chautauqua County/Jamestown,Jamestown,NY,423.28,687.38,1996
JON,Johnston Atoll,Johnston Island,TT,621.29,1008.94,1996
KAE,Kake Seaplane Base,Kake,AK,531.75,863.53,1996
KAL,Kaltag Airport,Kaltag,AK,1134,1841.56,1996
KFP,False Pass Airport,False Pass,AK,479,777.87,1996
KKA,Koyuk Alfred Adams,Koyuk,AK,750,1217.96,1996
KKH,Kongiganak Airport,Kongiganak,AK,474,769.75,1996
KLW,Klawock Airport,Klawock,AK,479,777.87,1996
KPC,Port Clarence CGS,Port Clarence,AK,652,1058.81,1996
KPN,Kipnuk Airport,Kipnuk,AK,532.5,864.75,1996
KQA,Akutan Airport,Akutan,AK,539.28,875.76,1996
KSM,St. Mary's Airport,St. Mary's,AK,454.7,738.41,1996
KTB,Thorne Bay Seaplane Base,Thorne Bay,AK,465,755.14,1996
KVC,King Cove Airport,King Cove,AK,479,777.87,1996
KVL,Kivalina Airport,Kivalina,AK,596,967.87,1996
KWT,Kwethluk Airport,Kwethluk,AK,526,854.2,1996
KYU,Koyukuk Airport,Koyukuk,AK,746,1211.47,1996
LAA,Lamar Municipal,Lamar,CO,341.33,554.31,1996
LAF,Purdue University,Lafayette,IN,406.97,660.9,1996
LMT,Crater Lake Klamath Regional,Klamath Falls,OR,335.62,545.02,1996
LPS,Lopez Island Airport,Lopez Island,WA,294,477.44,1996
LRU,Las Cruces International,Las Cruces,NM,161.83,262.8,1996
LWT,Lewistown Municipal,Lewistown,MT,314.75,511.14,1996
MBL,Manistee County-Blacker,Manistee/Ludington,MI,315.12,511.73,1996
MCN,Middle Georgia Regional,Macon,GA,501.99,815.21,1996
MCW,Mason City Municipal,Mason City,IA,386.01,626.85,1996
MDH,Southern Illinois,Carbondale,IL,294,477.44,1996
MHE,Mitchell Municipal,Mitchell,SD,256.5,416.54,1996
MIE,Delaware County Regional,Muncie/Anderson/Newcastle,IN,253.9,412.32,1996
MKL,McKellar-Sipes Regional,Jackson,TN,493.64,801.64,1996
MKT,Mankato Regional,Mankato,MN,260,422.23,1996
MLL,Marshall Don Hunter Sr.,Marshall,AK,740,1201.72,1996
MLS,Frank Wiley Field,Miles City,MT,300.08,487.32,1996
MNM,Menominee Regional,Marinette,MI,293.33,476.36,1996
MNT,Minto Al Wright,Minto,AK,498,808.73,1996
MOD,Modesto City-County-Harry Sham Field,Modesto,CA,318.31,516.92,1996
MTH,The Florida Keys Marathon International,Marathon,FL,276.59,449.17,1996
MTO,Coles County Memorial,Mattoon/Charleston,IL,447.8,727.2,1996
MVN,Mount Vernon Airport,Mount Vernon,IL,266.5,432.78,1996
MWH,Grant County International,Moses Lake,WA,258.99,420.59,1996
MYU,Mekoryuk Airport,Mekoryuk,AK,614,997.1,1996
NUL,Nulato Airport,Nulato,AK,472,766.5,1996
NUP,Nunapitchuk Airport,Nunapitchuk,AK,463,751.89,1996
NYC,New York City Metropolitan Area,New York,NY,363.53,590.36,1996
OFK,Norfolk Regional/Karl Stefan Memorial Field,Norfolk,NE,255.83,415.46,1996
ORV,Robert/Bob/Curtis Memorial,Noorvik,AK,477.67,775.71,1996
OSH,Wittman Regional,Oshkosh,WI,328.57,533.58,1996
OTM,Ottumwa Regional,Ottumwa,IA,312.55,507.56,1996
OXR,Oxnard,Oxnard/Ventura,CA,378.79,615.13,1996
