code,name,city,state,fare,adj_fare,year
LAX,Los Angeles International,Los Angeles,CA,342.59,602.61,1993
ORD,Chicago O'Hare International,Chicago-O'Hare,IL,427.61,752.16,1993
DEN,Denver International,Denver,CO,434.65,764.54,1993
ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,462.05,812.75,1993
SFO,San Francisco International,San Francisco,CA,386.62,680.07,1993
BOS,Logan International,Boston,MA,399.66,702.99,1993
SEA,Seattle/Tacoma International,Seattle,WA,394.06,693.15,1993
EWR,Newark Liberty International,Newark,NJ,424.45,746.61,1993
DFW,Dallas/Fort Worth International,Dallas-DFW,TX,434.14,763.66,1993
JFK,John F. Kennedy International,New York-JFK,NY,434.92,765.02,1993
LGA,LaGuardia,New York-La Guardia,NY,372.79,655.74,1993
PHX,Phoenix Sky Harbor International,Phoenix,AZ,196.18,345.09,1993
MCO,Orlando International,Orlando,FL,391.96,689.45,1993
MSP,Minneapolis-St Paul International,Minneapolis,MN,436.29,767.42,1993
LAS,McCarran International,Las Vegas,NV,138.94,244.4,1993
PHL,Philadelphia International,Philadelphia,PA,471.52,829.4,1993
SAN,San Diego International,San Diego,CA,258.43,454.58,1993
DTW,Detroit Metro Wayne County,Detroit,MI,371.67,653.76,1993
BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,434.78,764.78,1993
FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,380.84,669.89,1993
DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,353.32,621.5,1993
IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,409.95,721.1,1993
PDX,Portland International,Portland,OR,381.48,671.01,1993
TPA,Tampa International,Tampa,FL,416.37,732.39,1993
AUS,Austin - Bergstrom International,Austin,TX,222.7,391.73,1993
SLC,Salt Lake City International,Salt Lake City,UT,403.96,710.56,1993
SJC,Norman Y. Mineta San Jose International,San Jose,CA,393.53,692.22,1993
MDW,Chicago Midway International,Chicago-Midway,IL,146.94,258.47,1993
CLT,Charlotte Douglas International,Charlotte,NC,492.49,866.28,1993
MIA,Miami International,Miami,FL,376.95,663.05,1993
OAK,Metropolitan Oakland International,Oakland,CA,182.09,320.29,1993
RDU,Raleigh-Durham International,Raleigh/Durham,NC,448.75,789.34,1993
SMF,Sacramento International,Sacramento,CA,253.37,445.67,1993
BNA,Nashville International,Nashville,TN,343.58,604.35,1993
STL,St Louis Lambert International,St. Louis,MO,278.98,490.73,1993
MCI,Kansas City International,Kansas City,MO,265.92,467.76,1993
DAL,Dallas Love Field,Dallas-Love Field,TX,68.52,120.52,1993
IAD,Washington Dulles International,Washington-Dulles,DC,527.66,928.15,1993
HNL,Daniel K Inouye International,Honolulu,HI,103.28,181.67,1993
IND,Indianapolis International,Indianapolis,IN,326.62,574.52,1993
CLE,Cleveland-Hopkins International,Cleveland,OH,371.37,653.24,1993
MSY,Louis Armstrong New Orleans International,New Orleans,LA,240.39,422.84,1993
PIT,Pittsburgh International,Pittsburgh,PA,442.2,777.82,1993
SNA,John Wayne Airport-Orange County,Santa Ana,CA,417.7,734.73,1993
HOU,William P Hobby,Houston-Hobby,TX,135.54,238.42,1993
CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,466.03,819.75,1993
SAT,San Antonio International,San Antonio,TX,205.32,361.15,1993
CMH,John Glenn Columbus International,Columbus,OH,309.12,543.73,1993
MKE,General Mitchell International,Milwaukee,WI,363.19,638.85,1993
BDL,Bradley International,Hartford,CT,447.25,786.72,1993
SJU,Luis Munoz Marin International,San Juan,PR,290.63,511.22,1993
RSW,Southwest Florida International,Fort Myers,FL,387.29,681.24,1993
JAX,Jacksonville International,Jacksonville,FL,446.13,784.74,1993
BUR,Bob Hope,Burbank,CA,160.78,282.81,1993
BUF,Buffalo Niagara International,Buffalo,NY,387.41,681.45,1993
PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,413.5,727.35,1993
ONT,Ontario International,Ontario,CA,248.3,436.75,1993
OMA,Eppley Airfield,Omaha,NE,374.2,658.21,1993
ABQ,Albuquerque International Sunport,Albuquerque,NM,177.43,312.11,1993
PVD,Theodore Francis Green State,Providence,RI,435.11,765.36,1993
MEM,Memphis International,Memphis,TN,411.79,724.33,1993
RIC,Richmond International,Richmond,VA,455.42,801.07,1993
OKC,Will Rogers World,Oklahoma City,OK,226.74,398.84,1993
BOI,Boise Air Terminal,Boise,ID,430.74,757.68,1993
LGB,Long Beach Airport,Long Beach,CA,289.47,509.17,1993
GEG,Spokane International,Spokane,WA,361.54,635.94,1993
ORF,Norfolk International,Norfolk,VA,389.99,685.98,1993
ANC,Ted Stevens Anchorage International,Anchorage,AK,473.03,832.06,1993
SDF,Louisville International-Standiford Field,Louisville,KY,403.38,709.54,1993
CHS,Charleston AFB/International,Charleston,SC,421.62,741.62,1993
GRR,Gerald R. Ford International,Grand Rapids,MI,379.35,667.27,1993
RNO,Reno/Tahoe International,Reno,NV,162.5,285.84,1993
TUS,Tucson International,Tucson,AZ,360.14,633.49,1993
OGG,Kahului Airport,Kahului,HI,48.83,85.9,1993
ELP,El Paso International,El Paso,TX,145.79,256.45,1993
ALB,Albany International,Albany,NY,420.5,739.66,1993
TUL,Tulsa International,Tulsa,OK,223.83,393.72,1993
DSM,Des Moines International,Des Moines,IA,378.58,665.91,1993
BHM,Birmingham-Shuttlesworth International,Birmingham,AL,332.75,585.3,1993
ROC,Greater Rochester International,Rochester,NY,424.7,747.04,1993
SYR,Syracuse Hancock International,Syracuse,NY,389.75,685.56,1993
GSP,Greenville-Spartanburg International,Greer,SC,489.32,860.72,1993
MSN,Dane County Regional-Truax Field,Madison,WI,371.47,653.4,1993
PWM,Portland International Jetport,Portland,ME,416.77,733.09,1993
LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,252.38,443.94,1993
MHT,Manchester-Boston Regional,Manchester,NH,495.63,871.81,1993
SAV,Savannah/Hilton Head International,Savannah,GA,420.91,740.38,1993
TYS,McGhee Tyson,Knoxville,TN,442.91,779.07,1993
KOA,Ellison Onizuka Kona International at Keahole,Kona,HI,45.96,80.85,1993
ISP,Long Island MacArthur,Islip,NY,363.57,639.52,1993
LIH,Lihue Airport,Lihue,HI,48.21,84.8,1993
GSO,Piedmont Triad International,Greensboro/High Point,NC,466.53,820.62,1993
PNS,Pensacola International,Pensacola,FL,422.32,742.85,1993
HPN,Westchester County,White Plains,NY,528.99,930.5,1993
ICT,Wichita Dwight D Eisenhower National,Wichita,KS,346.91,610.21,1993
COS,City of Colorado Springs Municipal,Colorado Springs,CO,384.74,676.76,1993
PIE,St Pete Clearwater International,St. Petersburg,FL,220.91,388.59,1993
DAY,James M Cox/Dayton International,Dayton,OH,402.15,707.37,1993
FAT,Fresno Yosemite International,Fresno,CA,428.42,753.58,1993
BTV,Burlington International,Burlington,VT,416.89,733.31,1993
MDT,Harrisburg International,Harrisburg,PA,431.97,759.83,1993
LEX,Blue Grass,Lexington,KY,429.8,756.02,1993
PSP,Palm Springs International,Palm Springs,CA,476.54,838.24,1993
MYR,Myrtle Beach International,Myrtle Beach,SC,398.73,701.36,1993
CID,The Eastern Iowa,Cedar Rapids/Iowa City,IA,374.23,658.27,1993
MAF,Midland International Air and Space Port,Midland/Odessa,TX,125.47,220.69,1993
EUG,Mahlon Sweet Field,Eugene,OR,436.14,767.16,1993
SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,391.11,687.95,1993
FSD,Joe Foss Field,Sioux Falls,SD,362.97,638.46,1993
CHA,Lovell Field,Chattanooga,TN,455.81,801.77,1993
HSV,Huntsville International-Carl T Jones Field,Huntsville,AL,511.91,900.44,1993
CAE,Columbia Metropolitan,Columbia,SC,434.38,764.08,1993
AVL,Asheville Regional,Asheville,NC,400.98,705.32,1993
MFR,Rogue Valley International - Medford,Medford,OR,380.07,668.54,1993
SGF,Springfield-Branson National,Springfield,MO,350.33,616.23,1993
BZN,Bozeman Yellowstone International,Bozeman,MT,397.95,699.99,1993
BLI,Bellingham International,Bellingham,WA,338.37,595.19,1993
ILM,Wilmington International,Wilmington,NC,414.33,728.8,1993
ITO,Hilo International,Hilo,HI,42.72,75.15,1993
LBB,Lubbock Preston Smith International,Lubbock,TX,129.48,227.76,1993
CAK,Akron-Canton Regional,Akron,OH,385.2,677.56,1993
VPS,Eglin AFB Destin Fort Walton Beach,Valparaiso,FL,490.97,863.61,1993
FAI,Fairbanks International,Fairbanks,AK,429.68,755.81,1993
JAN,Jackson Medgar Wiley Evers International,Jackson/Vicksburg,MS,443.62,780.32,1993
ACY,Atlantic City International,Atlantic City,NJ,124.64,219.25,1993
TTN,Trenton Mercer,Trenton,NJ,391.37,688.41,1993
ABE,Lehigh Valley International,Allentown/Bethlehem/Easton,PA,502.61,884.09,1993
FAR,Hector International,Fargo,ND,368.73,648.6,1993
PSC,Tri Cities,Pasco/Kennewick/Richland,WA,514.92,905.73,1993
FWA,Fort Wayne International,Fort Wayne,IN,414.38,728.9,1993
RDM,Roberts Field,Bend/Redmond,OR,271.75,478,1993
BIL,Billings Logan International,Billings,MT,375.19,659.96,1993
FNT,Bishop International,Flint,MI,341.5,600.7,1993
SBN,South Bend International,South Bend,IN,394.6,694.1,1993
MSO,Missoula International,Missoula,MT,392.44,690.29,1993
MLI,Quad City International,Moline,IL,375.52,660.54,1993
PIA,General Downing - Peoria International,Peoria,IL,374.61,658.94,1993
BTR,Baton Rouge Metropolitan/Ryan Field,Baton Rouge,LA,397.18,698.64,1993
CHO,Charlottesville Albemarle,Charlottesville,VA,457.74,805.16,1993
SBA,Santa Barbara Municipal,Santa Barbara,CA,528.38,929.42,1993
MFE,McAllen Miller International,Mission/McAllen/Edinburg,TX,279.87,492.29,1993
TLH,Tallahassee International,Tallahassee,FL,397.81,699.74,1993
ATW,Appleton International,Appleton,WI,504.41,887.25,1993
AMA,Rick Husband Amarillo International,Amarillo,TX,150.36,264.48,1993
DAB,Daytona Beach International,Daytona Beach,FL,422.71,743.55,1993
AGS,Augusta Regional at Bush Field,Augusta,GA,469.6,826.03,1993
CRP,Corpus Christi International,Corpus Christi,TX,202.46,356.13,1993
BQN,Rafael Hernandez,Aguadilla,PR,233.56,410.84,1993
BIS,Bismarck Municipal,Bismarck/Mandan,ND,333.13,585.98,1993
ROA,Roanoke Blacksburg Regional Woodrum Field,Roanoke,VA,415.42,730.72,1993
BGR,Bangor International,Bangor,ME,381.89,671.75,1993
AVP,Wilkes Barre Scranton International,Scranton/Wilkes-Barre,PA,433.96,763.33,1993
GRB,Green Bay Austin Straubel International,Green Bay,WI,372.48,655.18,1993
SHV,Shreveport Regional,Shreveport,LA,382.36,672.56,1993
HRL,Valley International,Harlingen/San Benito,TX,132.69,233.41,1993
STT,Cyril E King,Charlotte Amalie,VI,256.21,450.68,1993
GPT,Gulfport-Biloxi International,Gulfport/Biloxi,MS,400.99,705.33,1993
FAY,Fayetteville Regional/Grannis Field,Fayetteville,NC,417.43,734.26,1993
GNV,Gainesville Regional,Gainesville,FL,483.28,850.09,1993
RAP,Rapid City Regional,Rapid City,SD,344.95,606.76,1993
MOB,Mobile Regional,Mobile,AL,476.75,838.6,1993
SBP,San Luis County Regional,San Luis Obispo,CA,341.67,600.99,1993
FCA,Glacier Park International,Kalispell,MT,392.92,691.14,1993
JNU,Juneau International,Juneau,AK,427.66,752.24,1993
MLB,Melbourne International,Melbourne,FL,478.41,841.52,1993
LFT,Lafayette Regional Paul Fournet Field,Lafayette,LA,354.23,623.09,1993
EVV,Evansville Regional,Evansville,IN,408.7,718.9,1993
SWF,Stewart International,Newburgh/Poughkeepsie,NY,471.13,828.71,1993
PHF,Newport News/Williamsburg International,Newport News/Williamsburg,VA,398.77,701.43,1993
STS,Charles M. Schulz - Sonoma County,Santa Rosa,CA,300,527.7,1993
GJT,Grand Junction Regional,Grand Junction,CO,373.89,657.67,1993
BMI,Central Illinois Regional,Bloomington/Normal,IL,391.2,688.12,1993
TVC,Cherry Capital,Traverse City,MI,361.28,635.49,1993
TRI,Tri Cities,Bristol/Johnson City/Kingsport,TN,440.1,774.14,1993
CRW,Yeager,Charleston/Dunbar,WV,466.85,821.19,1993
EYW,Key West International,Key West,FL,346.25,609.05,1993
GTF,Great Falls International,Great Falls,MT,376.04,661.46,1993
OAJ,Albert J Ellis,Jacksonville/Camp Lejeune,NC,344.01,605.11,1993
MOT,Minot International,Minot,ND,351.96,619.1,1993
MRY,Monterey Regional,Monterey,CA,450.13,791.78,1993
JAC,Jackson Hole,Jackson,WY,445.98,784.47,1993
DRO,Durango La Plata County,Durango,CO,393.75,692.61,1993
RST,Rochester International,Rochester,MN,460.77,810.49,1993
LAN,Capital Region International,Lansing,MI,335.77,590.61,1993
ELM,Elmira/Corning Regional,Elmira/Corning,NY,497.41,874.95,1993
MGM,Montgomery Regional,Montgomery,AL,426.6,750.38,1993
RFD,Chicago/Rockford International,Rockford,IL,351.15,617.67,1993
STX,Henry E. Rohlsen,Christiansted,VI,243.35,428.05,1993
TOL,Toledo Express,Toledo,OH,369.96,650.76,1993
AZO,Kalamazoo/Battle Creek International,Kalamazoo,MI,411.98,724.68,1993
IDA,Idaho Falls Regional,Idaho Falls,ID,434,763.4,1993
ASE,Aspen Pitkin County Sardy Field,Aspen,CO,381.47,671,1993
SCK,Stockton Metropolitan,Stockton,CA,272.63,479.56,1993
LBE,Arnold Palmer Regional,Latrobe,PA,569.69,1002.09,1993
DLH,Duluth International,Duluth,MN,410.05,721.27,1993
HTS,Tri-State/Milton J. Ferguson Field,Ashland,WV,414.76,729.56,1993
MBS,MBS International,Saginaw/Bay City/Midland,MI,380.85,669.92,1993
SGU,St George Regional,St. George,UT,423.17,744.35,1993
SCE,University Park,State College,PA,500.02,879.53,1993
GFK,Grand Forks International,Grand Forks,ND,365.7,643.26,1993
COU,Columbia Regional,Columbia,MO,404.15,710.9,1993
CWA,Central Wisconsin,Mosinee,WI,381.59,671.21,1993
EWN,Coastal Carolina Regional,New Bern/Morehead/Beaufort,NC,397.74,699.62,1993
HLN,Helena Regional,Helena,MT,451.63,794.41,1993
BFL,Meadows Field,Bakersfield,CA,617.66,1086.47,1993
LNK,Lincoln Airport,Lincoln,NE,401.35,705.98,1993
CMI,University of Illinois/Willard,Champaign/Urbana,IL,383.82,675.14,1993
LSE,La Crosse Regional,La Crosse,WI,383.25,674.13,1993
PSE,Mercedita,Ponce,PR,216.09,380.1,1993
MLU,Monroe Regional,Monroe,LA,390.58,687.03,1993
ITH,Ithaca Tompkins Regional,Ithaca/Cortland,NY,432.08,760.03,1993
LYH,Lynchburg Regional/Preston Glenn Field,Lynchburg,VA,505.61,889.36,1993
KTN,Ketchikan International,Ketchikan,AK,363.72,639.78,1993
ERI,Erie International/Tom Ridge Field,Erie,PA,435.86,766.68,1993
CPR,Casper/Natrona County International,Casper,WY,411.39,723.64,1993
ORH,Worcester Regional,Worcester,MA,410.09,721.35,1993
LRD,Laredo International,Laredo,TX,333.69,586.96,1993
SPI,Abraham Lincoln Capital,Springfield,IL,346.92,610.23,1993
FSM,Fort Smith Regional,Fort Smith,AR,377.43,663.9,1993
ABI,Abilene Regional,Abilene,TX,352.77,620.53,1993
SAF,Santa Fe Municipal,Santa Fe,NM,392,689.53,1993
MHK,Manhattan Regional,Manhattan/Ft. Riley,KS,407.98,717.63,1993
GRI,Central Nebraska Regional,Grand Island,NE,386.46,679.79,1993
GUM,Guam International,Guam,TT,392.49,690.39,1993
YUM,Yuma MCAS/Yuma International,Yuma,AZ,387.55,681.7,1993
ISN,Sloulin Field International,Williston,ND,495.1,870.88,1993
BET,Bethel Airport,Bethel,AK,273.09,480.36,1993
CLL,Easterwood Field,College Station/Bryan,TX,366.85,645.29,1993
YKM,Yakima Air Terminal/McAllister Field,Yakima,WA,262.08,460.99,1993
SUN,Friedman Memorial,Sun Valley/Hailey/Ketchum,ID,428.1,753.02,1993
MTJ,Montrose Regional,Montrose/Delta,CO,417.52,734.41,1993
SBY,Salisbury-Ocean City/Wicomico Regional,Salisbury,MD,409.34,720.03,1993
ACV,California Redwood Coast Humboldt County,Arcata/Eureka,CA,279,490.76,1993
PUW,Pullman Moscow Regional,Pullman,WA,299,525.94,1993
EAT,Pangborn Memorial,Wenatchee,WA,266.27,468.36,1993
FLG,Flagstaff Pulliam,Flagstaff,AZ,579.02,1018.49,1993
LWS,Lewiston Nez Perce County,Lewiston,ID,305.02,536.53,1993
LCH,Lake Charles Regional,Lake Charles,LA,381.15,670.44,1993
SIT,Sitka Rocky Gutierrez,Sitka,AK,299.82,527.37,1993
EGE,Eagle County Regional,Eagle,CO,455.64,801.47,1993
PIH,Pocatello Regional,Pocatello,ID,456.62,803.19,1993
ACT,Waco Regional,Waco,TX,404.44,711.4,1993
PSM,Portsmouth International at Pease,Portsmouth,NH,351,617.41,1993
PGV,Pitt Greenville,Greenville,NC,436.69,768.14,1993
ROW,Roswell International Air Center,Roswell,NM,553.67,973.9,1993
SJT,San Angelo Regional/Mathis Field,San Angelo,TX,389.72,685.51,1993
TYR,Tyler Pounds Regional,Tyler,TX,400.71,704.85,1993
TWF,Joslin Field - Magic Valley Regional,Twin Falls,ID,425.76,748.92,1993
MQT,Sawyer International,Marquette,MI,349.09,614.05,1993
ALW,Walla Walla Regional,Walla Walla,WA,316.92,557.47,1993
FLO,Florence Regional,Florence,SC,497.64,875.34,1993
ACK,Nantucket Memorial,Nantucket,MA,341.88,601.36,1993
VLD,Valdosta Regional,Valdosta,GA,538.54,947.28,1993
DHN,Dothan Regional,Dothan,AL,516.04,907.72,1993
ADQ,Kodiak Airport,Kodiak,AK,262.37,461.51,1993
SUX,Sioux Gateway/Col. Bud Day Field,Sioux City,IA,380.25,668.85,1993
SCC,Deadhorse Airport,Deadhorse,AK,281.05,494.37,1993
LAW,Lawton-Fort Sill Regional,Lawton/Fort Sill,OK,334.53,588.44,1993
RDD,Redding Municipal,Redding,CA,338.62,595.64,1993
SPS,Sheppard AFB/Wichita Falls Municipal,Wichita Falls,TX,325.53,572.6,1993
CKB,North Central West Virginia,Clarksburg/Fairmont,WV,484.29,851.86,1993
JLN,Joplin Regional,Joplin,MO,442.24,777.9,1993
BGM,Greater Binghamton/Edwin A. Link Field,Binghamton,NY,480.69,845.54,1993
GTR,Golden Triangle Regional,Columbus,MS,436.1,767.1,1993
TXK,Texarkana Regional-Webb Field,Texarkana,AR,376.95,663.06,1993
DBQ,Dubuque Regional,Dubuque,IA,371.21,652.95,1993
HVN,Tweed New Haven,New Haven,CT,461.72,812.17,1993
CSG,Columbus Airport,Columbus,GA,425.99,749.32,1993
ABY,Southwest Georgia Regional,Albany,GA,574.52,1010.57,1993
OME,Nome Airport,Nome,AK,426,749.34,1993
OTZ,Ralph Wien Memorial,Kotzebue,AK,391.02,687.8,1993
BRW,Wiley Post/Will Rogers Memorial,Barrow,AK,438.9,772.02,1993
COD,Yellowstone Regional,Cody,WY,358.56,630.71,1993
BJI,Bemidji Regional,Bemidji,MN,408.91,719.28,1993
HDN,Yampa Valley,Hayden,CO,400.83,705.05,1993
PPG,Pago Pago International,Pago Pago,TT,581.24,1022.39,1993
ABR,Aberdeen Regional,Aberdeen,SD,387.3,681.25,1993
BQK,Brunswick Golden Isles,Brunswick,GA,527.76,928.32,1993
SMX,Santa Maria Public/Capt. G. Allan Hancock Field,Santa Maria,CA,483.96,851.28,1993
BPT,Jack Brooks Regional,Beaumont/Port Arthur,TX,418.15,735.52,1993
BTM,Bert Mooney,Butte,MT,448.78,789.4,1993
ART,Watertown International,Watertown,NY,419.22,737.41,1993
HGR,Hagerstown Regional-Richard A. Henson Field,Hagerstown,MD,496.27,872.93,1993
OGS,Ogdensburg International,Ogdensburg,NY,394.47,693.86,1993
GGG,East Texas Regional,Longview,TX,397.83,699.78,1993
GCC,Gillette Campbell County,Gillette,WY,422.59,743.34,1993
GCK,Garden City Regional,Garden City,KS,400.45,704.39,1993
MVY,Martha's Vineyard Airport,Martha's Vineyard,MA,536.4,943.52,1993
CIU,Chippewa County International,Sault Ste. Marie,MI,463.95,816.08,1993
SPN,Francisco C. Ada Saipan International,Saipan,TT,210.95,371.07,1993
RHI,Rhinelander/Oneida County,Rhinelander,WI,366.36,644.42,1993
RKS,Southwest Wyoming Regional,Rock Springs,WY,502.27,883.49,1993
BRD,Brainerd Lakes Regional,Brainerd,MN,478.53,841.74,1993
IPT,Williamsport Regional,Williamsport,PA,480.21,844.69,1993
EAU,Chippewa Valley Regional,Eau Claire,WI,449.04,789.86,1993
ALO,Waterloo Regional,Waterloo,IA,371.68,653.78,1993
MEI,Key Field,Meridian,MS,457.59,804.91,1993
PAH,Barkley Regional,Paducah,KY,427.58,752.11,1993
PLN,Pellston Regional Airport of Emmet County,Pellston,MI,413.17,726.77,1993
DUT,Unalaska Airport,Unalaska,AK,401.33,705.94,1993
CMX,Houghton County Memorial,Hancock/Houghton,MI,467.55,822.42,1993
IMT,Ford,Iron Mountain/Kingsfd,MI,381.1,670.36,1993
OWB,Owensboro Daviess County Regional,Owensboro,KY,404.16,710.91,1993
HHH,Hilton Head Airport,Hilton Head,SC,395.91,696.41,1993
MKG,Muskegon County,Muskegon,MI,393.92,692.91,1993
EKO,Elko Regional,Elko,NV,517,909.4,1993
LAR,Laramie Regional,Laramie,WY,469.08,825.11,1993
ESC,Delta County,Escanaba,MI,408.24,718.09,1993
PSG,Petersburg James A Johnson,Petersburg,AK,322.98,568.12,1993
HIB,Range Regional,Hibbing,MN,430.34,756.97,1993
CDC,Cedar City Regional,Cedar City,UT,447.8,787.68,1993
BFF,Western Neb. Regional/William B. Heilig Field,Scottsbluff,NE,386.31,679.52,1993
LBF,North Platte Regional Airport Lee Bird Field,North Platte,NE,404.9,712.21,1993
MMH,Mammoth Lakes Airport,Mammoth Lakes,CA,241,423.92,1993
SHD,Shenandoah Valley Regional,Staunton,VA,412.96,726.4,1993
CDV,Merle K Mudhole Smith,Cordova,AK,209,367.63,1993
HYS,Hays Regional,Hays,KS,408.55,718.63,1993
GUC,Gunnison-Crested Butte Regional,Gunnison,CO,392.47,690.36,1993
SLN,Salina Regional,Salina,KS,444.96,782.69,1993
JMS,Jamestown Regional,Jamestown,ND,398.69,701.3,1993
WRG,Wrangell Airport,Wrangell,AK,265.08,466.27,1993
CGI,Cape Girardeau Regional,Cape Girardeau,MO,414.95,729.9,1993
AKN,King Salmon Airport,King Salmon,AK,242.87,427.2,1993
UIN,Quincy Regional-Baldwin Field,Quincy,IL,354.73,623.97,1993
APN,Alpena County Regional,Alpena,MI,341.38,600.49,1993
PUB,Pueblo Memorial,Pueblo,CO,348.13,612.35,1993
INL,Falls International Einarson Field,International Falls,MN,427.1,751.27,1993
PRC,Ernest A. Love Field,Prescott,AZ,266,467.89,1993
PIB,Hattiesburg-Laurel Regional,Hattiesburg/Laurel,MS,504.2,886.88,1993
VEL,Vernal Regional,Vernal,UT,584.52,1028.16,1993
TBN,Waynesville-St. Robert Regional Forney Field,Fort Leonard Wood,MO,258.85,455.32,1993
DLG,Dillingham Airport,Dillingham,AK,256.18,450.61,1993
DVL,Devils Lake Regional,Devils Lake,ND,350.22,616.04,1993
MKK,Molokai,Hoolehua,HI,47.74,83.98,1993
ENA,Kenai Municipal,Kenai,AK,166.34,292.59,1993
HYA,Barnstable Municipal-Boardman/Polando Field,Hyannis,MA,379.08,666.8,1993
OTH,Southwest Oregon Regional,North Bend/Coos Bay,OR,357.66,629.13,1993
PQI,Northern Maine Regional at Presque Isle,Presque Isle/Houlton,ME,427.53,752.02,1993
YAK,Yakutat Airport,Yakutat,AK,252.29,443.78,1993
LWB,Greenbrier Valley,Lewisburg,WV,400.89,705.17,1993
LBL,Liberal Mid-America Regional,Liberal,KS,324.2,570.27,1993
EAR,Kearney Regional,Kearney,NE,522.13,918.41,1993
LNY,Lanai Airport,Lanai,HI,48.39,85.12,1993
HOM,Homer Airport,Homer,AK,235.67,414.54,1993
LEB,Lebanon Municipal,Lebanon-Hanover,NH,486.13,855.1,1993
MWA,Veterans Airport of Southern Illinois,Marion/Herrin,IL,417.56,734.49,1993
JHM,Kapalua Airport,Kapalua,HI,44.67,78.57,1993
AUG,Augusta State,Augusta/Waterville,ME,429.68,755.81,1993
PVC,Provincetown Municipal,Provincetown,MA,525,923.47,1993
RKD,Knox County Regional,Rockland,ME,460,809.14,1993
BHB,Hancock County-Bar Harbor,Bar Harbor,ME,421,740.54,1993
ALS,San Luis Valley Regional/Bergman Field,Alamosa,CO,451,793.31,1993
CDB,Cold Bay Airport,Cold Bay,AK,253.25,445.47,1993
SLK,Adirondack Regional,Saranac Lake/Lake Placid,NY,359.5,632.36,1993
CYS,Cheyenne Regional/Jerry Olson Field,Cheyenne,WY,385.34,677.82,1993
DEC,Decatur Airport,Decatur,IL,398.18,700.4,1993
ADK,Adak,Adak Island,AK,456.58,803.13,1993
DDC,Dodge City Regional,Dodge City,KS,391.29,688.27,1993
VDZ,Valdez Pioneer Field,Valdez,AK,190.56,335.2,1993
SDY,Sidney Richland Regional,Sidney,MT,672.86,1183.55,1993
SDP,Sand Point,Sandpoint,AK,503.66,885.93,1993
MAZ,Eugenio Maria de Hostos,Mayaguez,PR,316.58,556.86,1993
PIR,Pierre Regional,Pierre,SD,426.2,749.69,1993
CEZ,Cortez Municipal,Cortez,CO,475.3,836.06,1993
IPL,Imperial County,El Centro,CA,502.22,883.4,1993
MCK,McCook Ben Nelson Regional,McCook,NE,417.25,733.94,1993
VQS,Antonio Rivera Rodriguez,Vieques,PR,391.67,688.94,1993
PDT,Eastern Oregon Regional at Pendleton,Pendleton,OR,300.81,529.13,1993
CDR,Chadron Municipal,Chadron,NE,575.8,1012.83,1993
TEX,Telluride Regional,Telluride,CO,483.4,850.3,1993
GGW,Wokal Field/Glasgow International,Glasgow,MT,488,858.39,1993
ATY,Watertown Regional,Watertown,SD,502.45,883.8,1993
TVF,Thief River Falls Regional,Thief River Falls,MN,406.38,714.81,1993
MSS,Massena International-Richards Field,Massena,NY,534.39,939.98,1993
SNP,St. Paul Island,St. Paul,AK,576.71,1014.43,1993
CNM,Cavern City Air Terminal,Carlsbad,NM,813.5,1430.94,1993
GDV,Dawson Community,Glendive,MT,423.5,744.93,1993
OLF,L. M. Clayton,Wolf Point,MT,481.25,846.52,1993
MSL,Northwest Alabama Regional,Muscle Shoals,AL,427.6,752.14,1993
AOO,Altoona-Blair County,Altoona,PA,439.78,773.57,1993
DUJ,DuBois Regional,DuBois,PA,478.01,840.82,1993
AIA,Alliance Municipal,Alliance,NE,836,1470.52,1993
PGA,Page Municipal,Page,AZ,406.85,715.65,1993
MGW,Morgantown Municipal-Walter L. Bill Hart Field,Morgantown,WV,469.63,826.07,1993
HVR,Havre City-County,Havre,MT,466.33,820.28,1993
GLH,Greenville Mid Delta,Greenville,MS,502.47,883.85,1993
ROP,Benjamin Taisacan Manglona International,Rota,TT,436,766.92,1993
SVC,Grant County,Silver City/Hurley,NM,481,846.08,1993
CVN,Clovis Municipal,Clovis,NM,300,527.7,1993
SOW,Show Low Regional,Show Low,AZ,480,844.32,1993
JST,John Murtha Johnstown-Cambria County,Johnstown,PA,462.44,813.43,1993
BFD,Bradford Regional,Bradford,PA,473.43,832.75,1993
MCG,McGrath Airport,McGrath,AK,295.38,519.58,1993
VCT,Victoria Regional,Victoria,TX,510.8,898.49,1993
LNS,Lancaster Airport,Lancaster,PA,441.84,777.2,1993
YNG,Youngstown-Warren Regional,Youngstown/Warren,OH,327.89,576.76,1993
FKL,Venango Regional,Franklin/Oil City,PA,462.38,813.31,1993
PQS,Pilot Station Airport,Pilot Station,AK,200.75,353.12,1993
EMK,Emmonak Airport,Emmonak,AK,186.75,328.49,1993
OOK,Toksook Bay,Toksook,AK,104.29,183.45,1993
